,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2017-11-05,82.0,58.0,85.0,32.0,69.0,43.0,63.0,63.0,67.0,78.0,44.0,70.0,69.0,74.0,25.0,16.0
2017-11-12,81.0,60.0,79.0,37.0,66.0,42.0,73.0,70.0,64.0,80.0,55.0,64.0,68.0,86.0,19.0,27.0
2017-11-19,76.0,63.0,75.0,31.0,64.0,43.0,65.0,55.0,64.0,80.0,48.0,66.0,67.0,82.0,26.0,29.0
2017-11-26,81.0,58.0,75.0,31.0,67.0,44.0,69.0,77.0,59.0,85.0,58.0,73.0,70.0,67.0,26.0,22.0
2017-12-03,79.0,66.0,77.0,32.0,70.0,46.0,68.0,61.0,71.0,79.0,53.0,61.0,69.0,67.0,24.0,31.0
2017-12-10,78.0,63.0,73.0,34.0,71.0,45.0,63.0,70.0,73.0,78.0,56.0,70.0,70.0,65.0,23.0,36.0
2017-12-17,87.0,68.0,81.0,38.0,76.0,54.0,71.0,70.0,100.0,80.0,45.0,76.0,73.0,68.0,29.0,33.0
2017-12-24,87.0,64.0,85.0,38.0,77.0,73.0,59.0,58.0,79.0,88.0,40.0,79.0,82.0,61.0,30.0,22.0
2017-12-31,80.0,61.0,77.0,32.0,70.0,79.0,83.0,63.0,78.0,83.0,52.0,75.0,77.0,63.0,26.0,20.0
2018-01-07,81.0,61.0,80.0,46.0,70.0,43.0,81.0,45.0,61.0,85.0,54.0,74.0,69.0,70.0,22.0,21.0
2018-01-14,81.0,60.0,80.0,37.0,62.0,43.0,81.0,70.0,59.0,79.0,52.0,64.0,65.0,76.0,15.0,37.0
2018-01-21,77.0,60.0,75.0,40.0,66.0,41.0,65.0,74.0,63.0,81.0,50.0,69.0,69.0,79.0,23.0,47.0
2018-01-28,79.0,59.0,82.0,38.0,68.0,44.0,61.0,58.0,71.0,83.0,50.0,70.0,66.0,80.0,20.0,44.0
